"monster_id","owner_kind","owner_id","graph_kind","graph_index","target_skill_id","node_order","node_type_id","arg_1","arg_2","arg_3","arg_4","arg_5","arg_6","arg_7","arg_8","arg_9","arg_10","arg_11","arg_12","excludes_active_choice_id"
"string","enum","string","enum","int","skill_id","int","string","string","string","string","string","string","string","string","string","string","string","string","string","choice_id"
"ariel","Choice","ariel-c-master-1","Effect","0","ariel-c","1","ApplyStatus","blessing","","","","","","","","","","","",""
"ariel","Choice","ariel-c-master-1","Effect","0","ariel-c","2","EffectTarget","AllAllies","Owner","Battlefield","","AppliedTargets","","","","","","","",""
"ariel","Choice","ariel-c-master-1","Effect","0","ariel-c","3","EffectVisual","Assets/Prefab/Skill/Ariel/Ariel_C-Buff.prefab","","","","","","","","","","","",""
"ariel","Choice","ariel-c-master-1","Effect","0","ariel-c","4","EffectLifetime","4","","","","","","","","","","","",""
"ariel","Choice","ariel-c-master-1","Effect","0","ariel-c","5","StatusSpellPowerBonus","0.18","","","","","","","","","","","",""
"ariel","Choice","ariel-c-master-2","Effect","0","ariel-c","1","EffectDamage","Holy","28","1.2","0.6","3","","","","","","","",""
"ariel","Choice","ariel-c-master-2","Effect","0","ariel-c","2","EffectTarget","","","Circle","","","Delayed","1","","","","","",""
"ariel","Choice","ariel-c-master-2","Effect","0","ariel-c","3","EffectVisual","Assets/Prefab/Skill/Ariel/Ariel_C.prefab","","","","","","","","","","","",""
"ariel","Choice","ariel-c-trait-1","Plan","0","","1","DamageMultiplier","1.25","","","","","","","","","","","",""
"ariel","Choice","ariel-c-trait-2","Plan","0","","1","StatusActionSpeedBonus","0.06","blessing","","","","","","","","","","",""
"ariel","Choice","ariel-c-trait-3","Plan","0","","1","StatusDurationBonus","blessing","2","","","","","","","","","","",""
"ariel","Choice","ariel-c-trait-4","Plan","0","ariel-c","1","RadiusMultiplier","1.25","","","","","","","","","","","",""
"ariel","Choice","ariel-c-trait-5","Effect","0","ariel-c","1","ApplyStatus","blessing","","","","","","","","","","","",""
"ariel","Choice","ariel-c-trait-5","Effect","0","ariel-c","2","EffectTarget","AllAllies","Owner","Battlefield","","AppliedTargets","","","","","","","",""
"ariel","Choice","ariel-c-trait-5","Effect","0","ariel-c","3","ConditionStatus","shield","AllAllies","","1","","","","","","","","",""
"ariel","Choice","ariel-c-trait-5","Effect","0","ariel-c","4","EffectLifetime","4","","","","","","","","","","","",""
"ariel","Choice","ariel-c-trait-5","Effect","0","ariel-c","5","StatusDamageBonusRate","0.1","Holy","","","","","","","","","","",""
"ariel","Choice","ariel-d-master-1","Plan","0","ariel-d","1","StatusCriticalDamageTakenBonus","0.25","","","","","","","","","","","",""
"ariel","Choice","ariel-d-trait-1","Plan","0","","1","DamageMultiplier","1.3","","","","","","","","","","","",""
"ariel","Choice","ariel-d-trait-2","Plan","0","","1","StatusElementDamageTakenBonus","0.08","","","","","","","","","","","",""
"ariel","Choice","ariel-d-trait-3","Plan","0","","1","DurationBonus","3","","","","","","","","","","","",""
"ariel","Choice","ariel-d-trait-4","Plan","0","","1","DamageMultiplier","0.8","","","","","","","","","","","",""
