wave_id,chapter_id,phase_id,time_sec,enemy_id,count,interval_sec,spawn_group,is_elite,trigger_type,trigger_value,notes
C3_W01,CH3,PHASE_01,0,ENEMY_001,16,0.65,grunt_open,false,time,0,chapter 3 start
C3_W01,CH3,PHASE_02,16,ENEMY_003,5,1.4,ranged_open,false,time,16,heavy projectile pressure
C3_W01,CH3,PHASE_03,34,ENEMY_004,3,2.5,tank_open,false,time,34,frontline load
C3_W02,CH3,PHASE_01,0,ENEMY_001,18,0.6,grunt_dense,false,time,0,higher density baseline
C3_W02,CH3,PHASE_02,18,ENEMY_005,3,2.0,support_mix,false,time,18,support layering
C3_W02,CH3,PHASE_03,36,ENEMY_007,3,1.8,flank_mix,false,time,36,side threat added
C3_W03,CH3,PHASE_01,0,ENEMY_004,4,2.4,tank_wall,false,time,0,tank wall start
C3_W03,CH3,PHASE_02,16,ENEMY_006,3,2.4,summon_mix,false,time,16,board clutter
C3_W03,CH3,PHASE_03,34,ENEMY_003,5,1.5,ranged_cover,false,time,34,cover fire
C3_W04,CH3,PHASE_01,0,ENEMY_001,18,0.55,grunt_peak,false,time,0,sustained density
C3_W04,CH3,PHASE_02,14,ENEMY_008,2,4.0,elite_pair,true,time,14,early elite pair
C3_W04,CH3,PHASE_03,30,ENEMY_002,6,1.2,breaker_rush,false,time,30,breaker follow-up
C3_W05,CH3,PHASE_01,0,ENEMY_001,20,0.55,grunt_peak,false,time,0,pressure peak
C3_W05,CH3,PHASE_02,18,ENEMY_005,4,1.8,support_peak,false,time,18,support heavy
C3_W05,CH3,PHASE_03,34,ENEMY_006,4,2.2,summon_peak,false,time,34,summon heavy
C3_W05,CH3,PHASE_04,52,ENEMY_007,4,1.6,flank_peak,false,time,52,late side collapse
C3_W06,CH3,PHASE_01,0,ENEMY_004,5,2.2,tank_peak,false,time,0,armor pressure
C3_W06,CH3,PHASE_02,18,ENEMY_008,2,4.0,elite_guard,true,time,18,elite support
C3_W06,CH3,PHASE_03,36,ENEMY_003,6,1.4,ranged_peak,false,time,36,projectile stress
C3_W07,CH3,PHASE_01,0,ENEMY_001,20,0.5,final_preboss,false,time,0,final prep
C3_W07,CH3,PHASE_02,16,ENEMY_002,6,1.2,breaker_top,false,time,16,top breakers
C3_W07,CH3,PHASE_03,30,ENEMY_007,4,1.6,flank_bottom,false,time,30,bottom flank
C3_W07,CH3,PHASE_04,46,ENEMY_008,2,4.0,elite_side,true,time,46,side elite collapse
C3_W08,CH3,PHASE_BOSS,0,BOSS_001,1,0,boss_return,true,time,0,chapter 3 boss placeholder
C3_W08,CH3,PHASE_BOSS,16,ENEMY_008,2,4.0,boss_guard,true,hp,0.75,phase 2 elite guard
C3_W08,CH3,PHASE_BOSS,34,ENEMY_006,3,2.4,boss_summon,false,hp,0.50,phase 3 summon adds
C3_W08,CH3,PHASE_BOSS,52,ENEMY_007,4,1.6,boss_flank,false,hp,0.25,phase 4 collapse
