"AssetPath","AssetKind","PathScope","ScriptPath","ScriptGuid","ObjectTypeId","ComponentFileId","GameObjectFileId","GameObjectName"
"Pakuri/Assets/Legacy/Data/GameData/Enemies/stage1-archer.asset","asset","LegacyPath","Pakuri/Assets/Scripts/Units/Definitions/EnemyDefinition.cs","8d25148deb98cf94fa750a6ad39cabf1","114","11400000","0",""
"Pakuri/Assets/Legacy/Data/GameData/Enemies/stage1-attack-captain.asset","asset","LegacyPath","Pakuri/Assets/Scripts/Units/Definitions/EnemyDefinition.cs","8d25148deb98cf94fa750a6ad39cabf1","114","11400000","0",""
"Pakuri/Assets/Legacy/Data/GameData/Enemies/stage1-guardian-captain.asset","asset","LegacyPath","Pakuri/Assets/Scripts/Units/Definitions/EnemyDefinition.cs","8d25148deb98cf94fa750a6ad39cabf1","114","11400000","0",""
"Pakuri/Assets/Legacy/Data/GameData/Enemies/stage1-hero-karin.asset","asset","LegacyPath","Pakuri/Assets/Scripts/Units/Definitions/EnemyDefinition.cs","8d25148deb98cf94fa750a6ad39cabf1","114","11400000","0",""
"Pakuri/Assets/Legacy/Data/GameData/Enemies/stage1-priest.asset","asset","LegacyPath","Pakuri/Assets/Scripts/Units/Definitions/EnemyDefinition.cs","8d25148deb98cf94fa750a6ad39cabf1","114","11400000","0",""
"Pakuri/Assets/Legacy/Data/GameData/Enemies/stage1-rogue.asset","asset","LegacyPath","Pakuri/Assets/Scripts/Units/Definitions/EnemyDefinition.cs","8d25148deb98cf94fa750a6ad39cabf1","114","11400000","0",""
"Pakuri/Assets/Legacy/Data/GameData/Enemies/stage1-shieldbearer.asset","asset","LegacyPath","Pakuri/Assets/Scripts/Units/Definitions/EnemyDefinition.cs","8d25148deb98cf94fa750a6ad39cabf1","114","11400000","0",""
"Pakuri/Assets/Legacy/Data/GameData/Enemies/stage1-swordsman.asset","asset","LegacyPath","Pakuri/Assets/Scripts/Units/Definitions/EnemyDefinition.cs","8d25148deb98cf94fa750a6ad39cabf1","114","11400000","0",""
"Pakuri/Assets/Legacy/Data/GameData/GameDataCatalog.asset","asset","LegacyPath","Pakuri/Assets/Scripts/GameFlow/Loading/GameDataCatalog.cs","eff1dc65cdcc0064ba1d33f7bfcc46de","114","11400000","0",""
"Pakuri/Assets/Legacy/Data/GameData/Monsters/ariel.asset","asset","LegacyPath","Pakuri/Assets/Scripts/Units/Definitions/MonsterDefinition.cs","55d6af300ba157743b18ec868681b2af","114","11400000","0",""
