"path","is_editor_test","meta_path","guid","sha256","namespaces","declared_types"
"Pakuri/Assets/Scripts/NewCore/Combat/Actions/EnemyActionController.cs","False","Pakuri/Assets/Scripts/NewCore/Combat/Actions/EnemyActionController.cs.meta","6822b61d2d7f6634aa7900a824452729","241458c0fef6fc652eaf1031eb3fc8f2a78ac9c8c346a76eca9779f037ba8079","Pakuri.NewCore.Combat.Actions","EnemyActionController"
"Pakuri/Assets/Scripts/NewCore/Combat/Actions/InGameActionManager.cs","False","Pakuri/Assets/Scripts/NewCore/Combat/Actions/InGameActionManager.cs.meta","04e7cf27d90a7704da82aef999a2e1eb","5c95482f3b70e0224d6ca12c51624cc0ae3f24147d407aabbfa25b3150b0116f","Pakuri.NewCore.Combat.Actions","CombatTickStep;InGameActionManager"
"Pakuri/Assets/Scripts/NewCore/Combat/Actions/MonsterActionController.cs","False","Pakuri/Assets/Scripts/NewCore/Combat/Actions/MonsterActionController.cs.meta","970c313802d2cbf40ba981db90f71d56","9685b3e0200f94c5b6ce1417160d52c49642dd8f0d80d681399d0fbfb64e1e4a","Pakuri.NewCore.Combat.Actions","MonsterActionController"
"Pakuri/Assets/Scripts/NewCore/Combat/Actions/PlayerInputController.cs","False","Pakuri/Assets/Scripts/NewCore/Combat/Actions/PlayerInputController.cs.meta","88a6c463d98613046af6c61ef63295a5","6285019ae009b6536dbea1cebfdf91fe67fa1add574730d15684f33a633d9118","Pakuri.NewCore.Combat.Actions","ManualInputPhase;PlayerInputController"
"Pakuri/Assets/Scripts/NewCore/Combat/Actions/UnitActionController.cs","False","Pakuri/Assets/Scripts/NewCore/Combat/Actions/UnitActionController.cs.meta","6b5db7592f6d6da4ab53ba577ab7dccc","830367f88deec13f7c878ccba90cef12724c64807ce649d3161a66fdb0a3767b","Pakuri.NewCore.Combat.Actions","UnitActionController"
"Pakuri/Assets/Scripts/NewCore/Combat/Actions/UnitMovementController.cs","False","Pakuri/Assets/Scripts/NewCore/Combat/Actions/UnitMovementController.cs.meta","e74a2973c07faa346aea2f29f8c0ce94","b595ec669e137bcea4e65afd5f5f80b3e2d600158e3ed7c2fb1902352c04e2e9","Pakuri.NewCore.Combat.Actions","UnitMovementController"
"Pakuri/Assets/Scripts/NewCore/Combat/Effects/EffectManager.cs","False","Pakuri/Assets/Scripts/NewCore/Combat/Effects/EffectManager.cs.meta","3e7abfd4837c1224b8c1ef68a8ecb800","188bf0f41ce60473a2ba595f4ab3eb5f6a7769a0796ac68847fe2a63d40a14db","Pakuri.NewCore.Combat.Effects","EffectHandle;EffectManager"
"Pakuri/Assets/Scripts/NewCore/Combat/InGameCombatManager.cs","False","Pakuri/Assets/Scripts/NewCore/Combat/InGameCombatManager.cs.meta","774907b9626032840ba090045abd0b63","01e157bbdec73763f2f5f67b3145965b8373a4ae23549f9912e13e997dae123b","Pakuri.NewCore.Combat","InGameCombatManager"
"Pakuri/Assets/Scripts/NewCore/Combat/Skills/Actors/AreaAttackActor.cs","False","Pakuri/Assets/Scripts/NewCore/Combat/Skills/Actors/AreaAttackActor.cs.meta","0c805f03c952c2b468fbb5144f3315a1","a48333e07997b1156b85a5d10a92f14f73a4f6af624c2d16db7303ab09e149d6","Pakuri.NewCore.Combat.Skills.Actors","AreaAttackActor"
"Pakuri/Assets/Scripts/NewCore/Combat/Skills/Actors/BuffActor.cs","False","Pakuri/Assets/Scripts/NewCore/Combat/Skills/Actors/BuffActor.cs.meta","f55f027e0c5c80a4baba6a0a440d450c","c387821f12163ebf0de7cc748f4382392efb69c4d3a74a81881e513a3078b32e","Pakuri.NewCore.Combat.Skills.Actors","BuffActor"
"Pakuri/Assets/Scripts/NewCore/Combat/Skills/Actors/LineAttackActor.cs","False","Pakuri/Assets/Scripts/NewCore/Combat/Skills/Actors/LineAttackActor.cs.meta","d4e06a20f917ef246bfbf1247cdc9245","817ffbc7eb91906ffe0387fddb29a42ff0097c9ed75acb88bf0975af93d5809a","Pakuri.NewCore.Combat.Skills.Actors","LineAttackActor"
"Pakuri/Assets/Scripts/NewCore/Combat/Skills/Actors/ProjectileActor.cs","False","Pakuri/Assets/Scripts/NewCore/Combat/Skills/Actors/ProjectileActor.cs.meta","2cf0fdb91ed0bf04ab395a4fbea59da6","05c5b8662d37ad62eb058e65d56df35581c91d8329740ffca0bc9f63d3266f71","Pakuri.NewCore.Combat.Skills.Actors","ProjectileActor"
"Pakuri/Assets/Scripts/NewCore/Combat/Skills/Actors/ScheduledSkillActor.cs","False","Pakuri/Assets/Scripts/NewCore/Combat/Skills/Actors/ScheduledSkillActor.cs.meta","db480316602cf7f4bac3ca88be5cb548","7a05406f6ebc883dd421557a8133a679d04c23136b4094fb1ed9f61439badf24","Pakuri.NewCore.Combat.Skills.Actors","ScheduledSkillActor"
"Pakuri/Assets/Scripts/NewCore/Combat/Skills/Actors/SingleAttackActor.cs","False","Pakuri/Assets/Scripts/NewCore/Combat/Skills/Actors/SingleAttackActor.cs.meta","3bb0e9ec2756eaa4eaf4e9133b849210","dac21ea5f4dc6617a0849ce6ebe9903887f64aa3adb7b90ed306c4fd582b5e45","Pakuri.NewCore.Combat.Skills.Actors","SingleAttackActor"
"Pakuri/Assets/Scripts/NewCore/Combat/Skills/Actors/SkillActor.cs","False","Pakuri/Assets/Scripts/NewCore/Combat/Skills/Actors/SkillActor.cs.meta","ef2b03ac16bffbe4db1eeb523906df67","57cd2bf690c702b53a0999b62cc2e2775a8ca162f95f3832918449946d528962","Pakuri.NewCore.Combat.Skills.Actors","SkillActor"
"Pakuri/Assets/Scripts/NewCore/Combat/Skills/Actors/SkillActorManager.cs","False","Pakuri/Assets/Scripts/NewCore/Combat/Skills/Actors/SkillActorManager.cs.meta","e36be2921d014fc4fb8f74e4c58c236d","7a86836119f195c2639e77de928233ba1cf060883a108beec1d0d45f2fdcdf56","Pakuri.NewCore.Combat.Skills.Actors","SkillActorManager"
"Pakuri/Assets/Scripts/NewCore/Combat/Skills/Actors/TimedSkillActor.cs","False","Pakuri/Assets/Scripts/NewCore/Combat/Skills/Actors/TimedSkillActor.cs.meta","27f46991cd08a264e826f2a496263608","03007fd1c11b0948e066340ab35ef200b0535643f5313e7cd3881c9c3ce7ca3d","Pakuri.NewCore.Combat.Skills.Actors","TimedSkillActor"
