"CsvPath","SizeBytes","Sha256","LinesAfterHeader"
"Pakuri/Assets/CSVdata/authoring/catalog/catalog_monsters.csv","184","acfa5a9f1b3630a439ef28caaab03536d34a3e226571cfaed1f9902b3cfa53eb","6"
"Pakuri/Assets/CSVdata/authoring/enemy/enemies.csv","2889","2a8f0f329dc5b653be8641125ddf9bb054ff0eb34f43cd9b417c3be2f953f8da","17"
"Pakuri/Assets/CSVdata/authoring/enemy/skills/base/area_attack/skills_area_attack.csv","1755","a4c6b52d76d9ad9b9979e3fbe5b766543bb1002dab4be4b768f0eeded28c0359","3"
"Pakuri/Assets/CSVdata/authoring/enemy/skills/base/buff/skills_buff.csv","2218","c3e7849f0a49497443a96ee94e2cf18af36dd041889c335989dd54e1ccdec31f","4"
"Pakuri/Assets/CSVdata/authoring/enemy/skills/base/heal/skills_heal.csv","1780","72b91714b6e67db2a388a41d91b63375bc0ab19408729cd95672a8fdd417cc3b","3"
"Pakuri/Assets/CSVdata/authoring/enemy/skills/base/passive/skills_passive.csv","1021","29227e744028c62c2317cbc95ec805a7d0cab106bf2d5230e7686e9c7c714bac","17"
"Pakuri/Assets/CSVdata/authoring/enemy/skills/base/projectile/skills_projectile.csv","2493","1d60c96f445010b4c9f2eb12e0020eacd8d65b99a1e9cff736d1f8dc08a4850c","5"
"Pakuri/Assets/CSVdata/authoring/enemy/skills/base/shield/skills_shield.csv","2161","df49d1770feadf8591f43b44435589b84d1d78883c78a3299585f28ae9604e15","3"
"Pakuri/Assets/CSVdata/authoring/enemy/skills/base/single_attack/skills_single_attack.csv","2359","cc63c33f4e1c0a071427af4f5f7f37a4c2aa6eca5d3f14307764902acd1faed6","4"
"Pakuri/Assets/CSVdata/authoring/enemy/skills/triggers/buff/buff_skill_triger.csv","313","df3abb3f2446f0c60b66535d0272b60dbcf47ef3a2b025ff10073f5a922d5537","3"
"Pakuri/Assets/CSVdata/authoring/enemy/skills/triggers/single_attack/single_attack_skill_triger.csv","155","f8b1982976c5b9c8bf415dec665ceede83febca2ea5dfbdfad40c6d16c2ea421","1"
"Pakuri/Assets/CSVdata/authoring/monster/monster_modifier_skill_choice.csv","7743","9ad81cb72f3ecd10c3b9bbccb407a94169f603e6f159e87096c5f0b631277520","251"
"Pakuri/Assets/CSVdata/authoring/monster/monsters.csv","1515","6f0b30cb041b4317158985b3042e8dc4d6b55c0e416741e470c281ddf9303f22","6"
"Pakuri/Assets/CSVdata/authoring/monster/skills/base/area_attack/skills_area_attack.csv","2836","77957257212d96b651d22afe3357f606ead43a1e7be225b27c9556adb5883cb8","4"
"Pakuri/Assets/CSVdata/authoring/monster/skills/base/buff/skills_buff.csv","2546","65572b3a8a01d819b348ea1416734707772b21aaddf9aa0103e1dbb2f1f66635","4"
"Pakuri/Assets/CSVdata/authoring/monster/skills/base/line_attack/skills_line_attack.csv","2637","a0aefd2d74e66fad9bbe1ce2a6e42cbd4020740d4a86fa2f3c39b37b2bc2b3c9","4"
"Pakuri/Assets/CSVdata/authoring/monster/skills/base/passive/skills_passive.csv","9580","4223d89abfe2987e115b7f1fe20c7967d84aceb901be26fd4c0fec17e68c4429","26"
