encounter_name,spawn_order,enemy_name,count,interval_sec,spawn_y_min,spawn_y_max,is_boss_candidate,boss_health_multiplier_min,boss_health_multiplier_max,guaranteed_prisoner
string,int,string,int,float,float,float,bool,float,float,bool
stage1-day1-normal,0,stage1-swordsman,1,0.5,-5,5,true,3,5,true
stage1-day1-normal,1,stage1-shieldbearer,1,0.5,-5,5,true,3,5,false
stage1-day1-normal,2,stage1-rogue,1,0.5,-5,5,true,3,5,false
stage1-day1-normal,3,stage1-priest,1,0.5,-5,5,true,3,5,false
stage1-day2-normal,0,stage1-swordsman,3,0.5,-5,5,true,3,5,true
stage1-day2-normal,1,stage1-rogue,2,0.5,-5,5,true,3,5,false
stage1-day3-normal,0,stage1-shieldbearer,2,0.5,-5,5,true,3,5,true
stage1-day3-normal,1,stage1-priest,2,0.5,-5,5,true,3,5,false
stage1-day4-normal,0,stage1-swordsman,3,0.5,-5,5,true,3,5,true
stage1-day4-normal,1,stage1-shieldbearer,3,0.5,-5,5,true,3,5,false
stage1-day4-normal,2,stage1-rogue,3,0.5,-5,5,true,3,5,false
stage1-day5-midboss,0,stage1-guardian-captain,1,0.5,0,0,false,3,5,true
stage1-day5-midboss,1,stage1-swordsman,8,0.5,-5,5,true,1,1,false
stage1-day6-normal,0,stage1-swordsman,7,0.5,-5,5,true,6,10,true
stage1-day6-normal,1,stage1-priest,8,0.5,-5,5,true,6,10,false
stage1-day7-normal,0,stage1-shieldbearer,6,0.3,-5,5,true,6,10,true
stage1-day7-normal,1,stage1-rogue,6,0.3,-5,5,true,6,10,false
stage1-day8-normal,0,stage1-swordsman,7,0.3,-5,5,true,6,10,true
stage1-day8-normal,1,stage1-shieldbearer,9,0.3,-5,5,true,6,10,false
stage1-day8-normal,2,stage1-priest,8,0.3,-5,5,true,6,10,false
stage1-day9-normal,0,stage1-swordsman,8,0.3,-5,5,true,6,10,true
stage1-day9-normal,1,stage1-shieldbearer,8,0.3,-5,5,true,6,10,false
stage1-day9-normal,2,stage1-rogue,7,0.3,-5,5,true,6,10,false
stage1-day9-normal,3,stage1-priest,6,0.3,-5,5,true,6,10,false
stage1-day10-midboss,0,stage1-attack-captain,1,0.3,0,0,false,6,10,true
stage1-day10-midboss,1,stage1-shieldbearer,6,0.3,-5,5,true,1,1,false
stage1-day10-midboss,2,stage1-rogue,6,0.3,-5,5,true,1,1,false
stage1-day11-boss,0,stage1-priest,7,0.3,-5,5,true,1,1,false
stage1-day11-boss,1,stage1-swordsman,7,0.3,-5,5,true,1,1,false
stage1-day11-boss,2,stage1-rogue,3,0.3,-5,5,true,1,1,false
stage1-day11-boss,3,stage1-guardian-captain,1,0.3,0,0,false,1,1,false
stage1-day11-boss,4,stage1-attack-captain,1,0.3,0,0,false,1,1,false
stage1-day11-boss,5,stage1-hero-karin,1,0.5,0,0,false,1,1,true
